arg-id,x,y,probability,cluster-id
A1_0,15.8175125,6.284294,0.6198849011660236,7
A2_0,21.464296,8.238578,1.0,0
A3_0,13.307716,-0.107696794,0.909036852604051,6
A3_1,14.521558,1.6095196,1.0,2
A3_2,10.767224,-0.3203899,1.0,1
A3_3,3.5660293,-10.241974,1.0,5
A4_0,14.717555,8.144518,0.0,7
A5_0,20.425234,9.536924,1.0,3
A6_0,-12.200455,4.8507395,1.0,7
A7_0,17.132406,4.276614,1.0,7
A8_0,13.409653,-3.2789087,0.0,4
A10_0,-2.9116435,9.773648,1.0,5
A11_0,-2.8989162,2.5290203,0.7244892542008573,3
A12_0,-2.256439,2.7483914,1.0,3
A14_0,3.5343347,-10.192715,1.0,5
A15_0,16.576555,7.1570807,0.8521665574626943,0
A16_0,-14.028712,4.744967,1.0,7
A17_0,14.469052,4.906533,1.0,3
A18_0,16.925503,6.6379104,1.0,7
A19_0,16.331875,8.012601,1.0,7
A20_0,16.934254,7.03757,1.0,0
A21_0,15.682779,8.029969,1.0,7
A21_1,17.412584,4.5097604,0.25846379939922143,7
A21_2,20.461723,9.486671,1.0,3
A21_3,13.740623,4.5798683,1.0,3
A22_0,16.653297,7.070135,1.0,0
A22_1,16.646465,7.04252,1.0,0
A23_0,16.692753,6.3540845,0.5633617202370268,7
A25_0,-12.206723,4.8544774,1.0,7
A26_0,10.941131,-2.4644616,1.0,1
A27_0,18.09026,5.4753537,0.45583260344764864,7
A29_0,18.368687,7.3244033,1.0,0
A30_0,12.582106,0.7988808,0.0,2
A30_1,12.429584,1.535125,1.0,2
A30_2,10.102308,1.003298,0.9868636183584659,3
A30_3,12.54568,0.55042595,1.0,2
A32_0,-12.326407,4.8986273,0.7406116649019353,7
A33_0,12.447504,1.2901565,0.0,2
A35_0,-12.654821,5.0157504,1.0,7
A36_0,15.40136,10.65342,1.0,7
A37_0,18.709341,5.35404,1.0,7
A38_0,16.589462,5.4400907,1.0,7
A38_1,16.28285,6.3830233,0.0,7
A39_0,17.02653,7.593233,0.3889164963752163,0
A40_0,16.631714,3.908857,0.8217441695985426,7
A41_0,17.330341,4.6818833,0.08747018444690492,7
A42_0,14.736658,0.47388518,0.8950357603176795,2
A43_0,16.522282,6.092884,0.5950419003754994,7
A45_0,13.248218,0.64199674,0.0,2
A47_0,16.54078,6.5997133,1.0,7
A48_0,14.4718895,4.9444003,1.0,3
A49_0,18.23166,7.227631,0.9316342829410594,0
A49_1,17.972647,7.1949,0.0,0
A49_2,17.620028,7.3059506,0.9551168987197416,0
A52_0,20.570705,9.347229,1.0,3
A52_1,20.503302,9.461558,0.0,3
A53_0,-2.2457654,2.7388754,1.0,3
A54_0,-2.9228735,9.734519,1.0,5
A55_0,14.666857,0.37961563,0.8127736677485294,2
A56_0,13.580695,1.9370174,0.9959225013285609,2
A57_0,10.926823,-2.4740505,1.0,1
